,treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
38,CVE_treated,0.038503041718799924,0.007340556592475955,0.024115550797547052,0.05289053264005279,0.24122544343837857,0.9134774996020647,0.1578763903685889,0.9749414466653024,0.2410913920340025,43977,0.1578763903685889,0.46606336232350815,GBF,MLP
39,OPP_treated,0.01305132063514551,0.0024867866958301677,0.008177218711318383,0.01792542255897264,0.24122544343837857,0.9134774996020647,0.46606336232350815,0.6595947881847329,0.2410913920340025,43977,0.1578763903685889,0.46606336232350815,GBF,MLP
36,CVE_treated,0.04185520107739173,0.00742770068711886,0.02729690773063876,0.05641349442414469,0.2414439146683422,0.9136139345567001,0.15617915576015123,0.9748732291879846,0.24128909958397718,43977,0.15617915576015123,0.4613905757640004,GBF,GBF
37,OPP_treated,0.01418796347881471,0.002514251548628393,0.00926003044350306,0.01911589651412636,0.2414439146683422,0.9136139345567001,0.4613905757640004,0.6629829228915115,0.24128909958397718,43977,0.15617915576015123,0.4613905757640004,GBF,GBF
30,CVE_treated,0.04169535666642646,0.0074394765184157595,0.02711398269033157,0.056276730642521346,0.241605636044852,0.9131591513745821,0.30375998454712716,0.9749414466653024,0.24145586647853062,43977,0.30375998454712716,0.46243773048623077,GBF,Logit
31,OPP_treated,0.013796956012138345,0.0025109630814987515,0.008875468372400792,0.0187184436518759,0.241605636044852,0.9131591513745821,0.46243773048623077,0.6610046160492985,0.24145586647853062,43977,0.30375998454712716,0.46243773048623077,GBF,Logit
34,CVE_treated,0.04269676200047449,0.007422590350934141,0.028148484912643573,0.0572450390883054,0.2416170016910817,0.9135457170793824,0.15630702870399935,0.9749414466653024,0.24144667271106615,43977,0.15630702870399935,0.46801798000785716,GBF,Tree
35,OPP_treated,0.014994040791424348,0.002478971092169696,0.010135257450771745,0.01985282413207695,0.2416170016910817,0.9135457170793824,0.46801798000785716,0.6616413125042636,0.24144667271106615,43977,0.15630702870399935,0.46801798000785716,GBF,Tree
32,CVE_treated,0.04265064036459182,0.007422919197286836,0.02810171873790962,0.05719956199127402,0.2416893195781112,0.9131591513745821,0.15630697409805228,0.9749414466653024,0.24151716610156002,43977,0.15630697409805228,0.46877806261492133,GBF,RF
33,OPP_treated,0.015109583229558068,0.0024750604021310007,0.010258464841381307,0.01996070161773483,0.2416893195781112,0.9131591513745821,0.46877806261492133,0.6535916501807764,0.24151716610156002,43977,0.15630697409805228,0.46877806261492133,GBF,RF
26,CVE_treated,0.041481302258376256,0.007556723630068457,0.02667012394344208,0.05629248057331043,0.24565546610195182,0.9054505764376833,0.1561940298459695,0.9748959683470905,0.245497196762548,43977,0.1561940298459695,0.4615739251139122,Tree,GBF
27,OPP_treated,0.014863499231807643,0.0025571527374049496,0.009851479866493942,0.019875518597121344,0.24565546610195182,0.9054505764376833,0.4615739251139122,0.6616185733451577,0.245497196762548,43977,0.1561940298459695,0.4615739251139122,Tree,GBF
24,CVE_treated,0.042679895767359886,0.007546089664996708,0.02788956002396634,0.057470231510753436,0.24565546610195182,0.9054505764376833,0.15630702870399935,0.9749414466653024,0.24546399561405485,43977,0.15630702870399935,0.46800971166377847,Tree,Tree
25,OPP_treated,0.016891860222409405,0.002520261492509449,0.011952147697090885,0.021831572747727925,0.24565546610195182,0.9054505764376833,0.46800971166377847,0.6616640516633695,0.24546399561405485,43977,0.15630702870399935,0.46800971166377847,Tree,Tree
22,CVE_treated,0.04251026827521256,0.007544313490651328,0.027723413833535954,0.057297122716889165,0.24565546610195182,0.9054505764376833,0.15630713644374342,0.9749414466653024,0.24546648213214342,43977,0.15630713644374342,0.4688801595323593,Tree,RF
