treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,learner_y,learner_d
treated,-0.0004181248103684907,0.0028867203744066205,-0.006076096744205467,0.005239847123468485,0.23872415159839147,0.915424542704083,0.48171948003617615,0.6107363921503317,0.24235806173483998,36027,GBF,Tree
treated,-0.002411141716160397,0.0028800997643703683,-0.008056137254326318,0.0032338538220055245,0.23877332856436928,0.916257251505815,0.48273660598797213,0.6028811724539929,0.2424414658975218,36027,GBF,RF
treated,-0.0019180540061387755,0.0029336702841259933,-0.0076680477630257215,0.003831939750748171,0.23885785854804467,0.9157576262247759,0.4744924553204817,0.6280844921864157,0.24249872021721827,36027,GBF,GBF
treated,-0.0002034119109327482,0.0029304941700259266,-0.005947180484183564,0.005540356662318067,0.23892147880270137,0.9163405223859883,0.475233210272442,0.6266411302634135,0.24252283301570085,36027,GBF,Logit
treated,-0.005181835283006654,0.002901519730287395,-0.010868813954369949,0.0005051433883566407,0.23902738292373016,0.9152024870236212,0.48050531533503305,0.6163710550420518,0.24275620690393612,36027,GBF,MLP
treated,-0.0009932218135950965,0.0029591596371786153,-0.006793174702465182,0.004806731075274989,0.2425537539241873,0.9110944569350765,0.4745526487698669,0.6266688872234712,0.24609674825199307,36027,Tree,GBF
treated,-0.00031838214801356573,0.0029568210214265317,-0.006113751350009568,0.005476987053982437,0.2425537539241873,0.9110944569350765,0.475233210272442,0.6266411302634135,0.24608338067309274,36027,Tree,Logit
treated,-0.005709597538027696,0.0029274432551644847,-0.011447386318150087,2.8191242094694445e-05,0.2425537539241873,0.9110944569350765,0.4797953251931271,0.6173980625641879,0.24618994681560316,36027,Tree,MLP
treated,0.0008915201961162997,0.002915033394685271,-0.004821945257466832,0.00660498564969943,0.2425537539241873,0.9110944569350765,0.48171948003617615,0.6107363921503317,0.24605974693900406,36027,Tree,Tree
treated,-0.0011558272182420073,0.002908783897487046,-0.006857043657316618,0.004545389220832603,0.2425537539241873,0.9110944569350765,0.48262580749481127,0.602659116773531,0.2461020785707164,36027,Tree,RF
treated,-0.004340168099035621,0.0030338097723714434,-0.01028643525288365,0.0016060990548124078,0.24364489586216062,0.9135925833402726,0.47466890445500265,0.6277236517056652,0.2472655437877565,36027,Logit,GBF
treated,0.000194594962400964,0.0030321875769994053,-0.00574849268851787,0.006137682613319798,0.24364489586216062,0.9135925833402726,0.475233210272442,0.6266411302634135,0.24718616724282683,36027,Logit,Logit
treated,-0.007589362033679814,0.0030002126779479633,-0.013469778882457822,-0.0017089451849018056,0.24364489586216062,0.9135925833402726,0.480075471941183,0.6184250700863242,0.24733277140008353,36027,Logit,MLP
treated,-0.0024260738432638307,0.002989311066412991,-0.008285123533433292,0.0034329758469056316,0.24364489586216062,0.9135925833402726,0.48171948003617615,0.6107363921503317,0.24723418052778987,36027,Logit,Tree
treated,-0.005041335108956641,0.0029827779269265197,-0.010887579845732619,0.0008049096278193377,0.24364489586216062,0.9135925833402726,0.4826392074472334,0.6041579926166486,0.24728407226064303,36027,Logit,RF
treated,-0.002065957671050703,0.003035947646941992,-0.008016415059057008,0.0038844997169556012,0.24424844485242952,0.9110944569350765,0.47450906518491665,0.628167763066589,0.24783633645496048,36027,RF,GBF
treated,-0.0002778388742621301,0.003036787420789091,-0.006229942219008749,0.005674264470484488,0.24427759776247215,0.9110944569350765,0.475233210272442,0.6266411302634135,0.24783056469956574,36027,RF,Logit
treated,-0.00627144404846618,0.0029995640863645927,-0.012150589657740782,-0.0003922984391915782,0.24434169763191138,0.9110944569350765,0.4812420687982027,0.6144558247980682,0.24802245268878628,36027,RF,MLP
treated,-0.003414090066091689,0.00299011402777379,-0.009274713560528317,0.0024465334283449397,0.24438201710901455,0.9110944569350765,0.48252430207251173,0.6045188330973992,0.24800139654746184,36027,RF,RF
treated,-0.0008431697691481979,0.002996051690933055,-0.006715431083376986,0.00502909154508059,0.24446089015510647,0.9110944569350765,0.48171948003617615,0.6107363921503317,0.24803063775947298,36027,RF,Tree
treated,-0.0053395725069815625,0.0030026684007964607,-0.011224802572542625,0.0005456575585795001,0.24732334864536143,0.9144530491020624,0.48171948003617615,0.6107363921503317,0.25081270008164347,36027,MLP,Tree
treated,-0.006633796742799302,0.0030409006187165867,-0.01259396195548381,-0.0006736315301147924,0.2482411197801793,0.9141477225414273,0.48244846210317177,0.6037971521358981,0.25185710512091414,36027,MLP,RF
treated,-0.0019171698388866284,0.003100109924865187,-0.007993385291622395,0.004159045613849137,0.24843089027666862,0.9134260415799261,0.475233210272442,0.6266411302634135,0.2518777536077365,36027,MLP,Logit
treated,-0.004671646912771736,0.0030976270961298002,-0.010742996021186144,0.0013997021956426731,0.24848949660191777,0.9133705276598107,0.4743351831375379,0.6283898187470508,0.25197826330561623,36027,MLP,GBF
treated,-0.006961495859631738,0.003056884722002088,-0.012952989914755832,-0.0009700018045076452,0.24875957108256266,0.9140366947011963,0.4804553390649886,0.6139284425569712,0.2523818765833782,36027,MLP,MLP
